transaction_id,client_id,transaction_date,transaction_type,transaction_amount,currency,origin_country,destination_country,channel,purpose_code,counterparty_name,counterparty_type,is_flagged,flag_reason,created_at
C00001_T0001,C00001,2025-05-15,Deposit,115.06,USD,Malta,Switzerland,Mobile App,Loan,Michael Johnson,Government,False,-,2023-12-31 04:31:58.063689
C00001_T0002,C00001,2025-05-16,Transfer,920.83,USD,Iceland,Ireland,Mobile App,Loan,John Smith,Business,False,-,2024-03-04 07:36:03.063759
C00001_T0003,C00001,2025-05-17,Withdrawal,1612.4,USD,United Kingdom,Cyprus,Mobile App,Business Expense,Jane Doe,Unknown,False,-,2024-08-09 18:28:57.063774
C00001_T0004,C00001,2025-05-18,Payment,942.75,USD,Denmark,Germany,Online,Commission,Jane Doe,Individual,False,-,2024-11-14 01:53:19.063786
C00001_T0005,C00001,2025-05-19,Payment,197.97,USD,Switzerland,Spain,API,Loan,Jane Doe,Business,False,Large volume,2023-12-18 21:42:11.063793
C00001_T0006,C00001,2025-05-20,Deposit,789.62,USD,Lithuania,Poland,Mobile App,Salary,Michael Johnson,Government,False,-,2025-04-12 03:11:25.063800
C00001_T0007,C00001,2025-05-21,Withdrawal,1799.47,USD,Romania,Czech Republic,Branch,Business Expense,Chris Lee,Individual,False,Large volume,2024-06-16 01:52:34.063807
C00001_T0008,C00001,2025-05-22,Investment,360.19,USD,Portugal,Romania,Mobile App,Commission,Michael Johnson,Business,False,Large volume,2024-02-14 23:41:04.063826
C00001_T0009,C00001,2025-05-23,Withdrawal,1785.75,USD,Poland,Bulgaria,Mobile App,Commission,John Smith,Unknown,False,-,2024-08-25 18:02:56.063836
C00001_T0010,C00001,2025-05-24,Withdrawal,1533.71,USD,Denmark,Italy,API,Investment,Jane Doe,Government,False,-,2024-02-18 07:14:35.063844
C00001_T0011,C00001,2025-05-25,Investment,21.96,USD,Poland,Germany,Branch,Crypto Settlement,Michael Johnson,Government,False,-,2024-06-19 03:06:22.063851
C00001_T0012,C00001,2025-05-26,Investment,273.43,USD,France,Netherlands,Branch,Salary,Jane Doe,Business,False,-,2023-10-02 09:07:39.063858
C00001_T0013,C00001,2025-05-27,Withdrawal,782.1,USD,Hungary,Czech Republic,Online,Crypto Settlement,John Smith,Government,True,-,2023-12-19 16:38:36.063866
C00001_T0014,C00001,2025-05-28,Transfer,1263.13,USD,Norway,Germany,Branch,Business Expense,Alice Brown,Individual,False,-,2025-04-18 08:44:52.063872
C00001_T0015,C00001,2025-05-29,Transfer,2122.41,USD,Netherlands,Netherlands,Branch,Business Expense,Alice Brown,Business,False,-,2025-01-24 02:00:16.063879
C00001_T0016,C00001,2025-05-30,Withdrawal,1023.45,USD,Greece,Belgium,Branch,Salary,Alice Brown,Individual,True,Large volume,2025-01-24 15:13:42.063886
C00001_T0017,C00001,2025-05-31,Transfer,478.08,USD,Ireland,Austria,Mobile App,Commission,Jane Doe,Government,False,-,2024-08-17 15:36:15.063893
C00001_T0018,C00001,2025-06-01,Investment,203.89,USD,Sweden,Ireland,Online,Loan,Michael Johnson,Government,True,-,2025-03-07 06:14:18.063900
C00001_T0019,C00001,2025-06-02,Investment,1425.73,USD,Latvia,Finland,Branch,Salary,Jane Doe,Government,False,-,2025-03-18 01:19:58.063909
C00001_T0020,C00001,2025-06-03,Transfer,231.41,USD,Ireland,Denmark,Branch,Business Expense,Chris Lee,Individual,False,-,2025-07-03 17:58:43.063916
C00001_T0021,C00001,2025-06-04,Investment,1187.58,USD,Croatia,Romania,Branch,Crypto Settlement,Michael Johnson,Government,False,-,2025-01-20 10:51:31.063923
C00001_T0022,C00001,2025-06-05,Payment,199.71,USD,Estonia,Romania,Mobile App,Salary,John Smith,Business,False,-,2024-04-05 04:21:38.063930
C00001_T0023,C00001,2025-06-06,Investment,95.37,USD,Estonia,Czech Republic,Mobile App,Commission,Alice Brown,Unknown,False,-,2024-02-04 01:50:11.063937
C00001_T0024,C00001,2025-06-07,Withdrawal,288.84,USD,Bulgaria,Luxembourg,Online,Investment,Michael Johnson,Business,False,-,2024-12-27 17:29:33.063943
C00001_T0025,C00001,2025-06-08,Deposit,335.01,USD,Germany,Romania,API,Investment,Michael Johnson,Unknown,False,-,2025-06-13 16:06:32.063950
C00001_T0026,C00001,2025-06-09,Transfer,1040.76,USD,Austria,Czech Republic,Online,Loan,Alice Brown,Government,False,-,2023-10-07 02:24:48.063957
C00001_T0027,C00001,2025-06-10,Transfer,175.22,USD,Luxembourg,Italy,Mobile App,Loan,John Smith,Business,False,Large volume,2024-02-18 13:01:55.063964
C00001_T0028,C00001,2025-06-11,Investment,2660.79,USD,Lithuania,Slovakia,Branch,Commission,Jane Doe,Individual,False,-,2024-07-19 19:00:16.063970
C00001_T0029,C00001,2025-06-12,Investment,807.38,USD,Estonia,Romania,Branch,Crypto Settlement,Jane Doe,Unknown,True,-,2025-07-25 12:38:36.063977
C00001_T0030,C00001,2025-06-13,Deposit,674.45,USD,Luxembourg,Romania,Online,Loan,Michael Johnson,Individual,False,-,2025-04-17 09:14:15.063984
C00001_T0031,C00001,2025-06-14,Deposit,569.77,USD,Estonia,Bulgaria,Branch,Investment,Alice Brown,Unknown,False,-,2024-10-17 12:56:52.063991
C00001_T0032,C00001,2025-06-15,Withdrawal,835.2,USD,Austria,Cyprus,Mobile App,Commission,Chris Lee,Government,False,-,2024-03-24 16:08:58.063997
C00001_T0033,C00001,2025-06-16,Payment,22.68,USD,Bulgaria,Malta,Online,Commission,John Smith,Business,False,Large volume,2024-09-07 07:45:44.064004
C00001_T0034,C00001,2025-06-17,Withdrawal,4608.88,USD,Poland,Iceland,API,Commission,Jane Doe,Unknown,False,-,2024-11-10 04:12:23.064011
C00001_T0035,C00001,2025-06-18,Transfer,814.49,USD,Netherlands,Netherlands,Mobile App,Salary,John Smith,Business,False,-,2025-07-12 19:57:43.064018
C00001_T0036,C00001,2025-06-19,Investment,35.79,USD,Belgium,Iceland,Mobile App,Crypto Settlement,John Smith,Unknown,False,-,2025-01-27 08:57:04.064026
C00001_T0037,C00001,2025-06-20,Withdrawal,890.58,USD,Estonia,Hungary,Branch,Crypto Settlement,John Smith,Unknown,False,-,2024-04-15 09:20:15.064033
C00001_T0038,C00001,2025-06-21,Investment,574.0,USD,Bulgaria,Iceland,Mobile App,Loan,Alice Brown,Government,False,-,2023-09-14 14:42:42.064040
C00001_T0039,C00001,2025-06-22,Investment,24.31,USD,Sweden,United Kingdom,Mobile App,Crypto Settlement,Alice Brown,Unknown,False,-,2024-09-01 07:29:15.064046
C00001_T0040,C00001,2025-06-23,Withdrawal,2579.9,USD,Belgium,Italy,API,Business Expense,Alice Brown,Individual,False,-,2024-08-29 05:44:38.064053
C00001_T0041,C00001,2025-06-24,Withdrawal,10.61,USD,Spain,Hungary,Branch,Investment,Michael Johnson,Unknown,False,-,2023-11-06 11:43:09.064060
C00001_T0042,C00001,2025-06-25,Deposit,861.52,USD,Germany,Austria,Mobile App,Loan,Alice Brown,Unknown,False,-,2024-01-31 16:32:29.064067
C00001_T0043,C00001,2025-06-26,Payment,3261.16,USD,Bulgaria,Belgium,Branch,Crypto Settlement,Michael Johnson,Unknown,False,-,2024-03-12 14:11:58.064073
C00001_T0044,C00001,2025-06-27,Deposit,271.0,USD,Latvia,Lithuania,Mobile App,Investment,Jane Doe,Government,False,-,2024-11-07 10:37:03.064080
C00001_T0045,C00001,2025-06-28,Payment,292.95,USD,Estonia,Denmark,API,Loan,Jane Doe,Business,False,Large volume,2023-10-22 06:10:46.064087
C00001_T0046,C00001,2025-06-29,Withdrawal,0.42,USD,Finland,Portugal,Branch,Business Expense,Jane Doe,Business,True,-,2023-08-06 02:18:46.064094
C00001_T0047,C00001,2025-06-30,Payment,68.58,USD,Norway,Greece,Branch,Investment,Jane Doe,Government,False,-,2024-02-10 17:35:32.064100
C00001_T0048,C00001,2025-07-01,Transfer,45.88,USD,Italy,United Kingdom,API,Business Expense,Jane Doe,Individual,False,-,2024-06-26 05:47:58.064107
C00001_T0049,C00001,2025-07-02,Deposit,1727.8,USD,Denmark,Austria,Online,Investment,Alice Brown,Individual,False,-,2024-01-25 16:38:31.064116
C00001_T0050,C00001,2025-07-03,Deposit,1810.45,USD,Lithuania,Sweden,Mobile App,Salary,Chris Lee,Government,True,-,2024-07-11 20:50:57.064127
C00001_T0051,C00001,2025-07-04,Deposit,1295.79,USD,Cyprus,Germany,Mobile App,Salary,Alice Brown,Business,False,-,2024-08-26 14:46:37.064139
C00001_T0052,C00001,2025-07-05,Investment,434.55,USD,Portugal,Romania,Online,Investment,Chris Lee,Individual,False,-,2025-04-13 22:25:00.064153
C00001_T0053,C00001,2025-07-06,Investment,1719.94,USD,Switzerland,Slovenia,Branch,Investment,Alice Brown,Government,False,-,2023-08-06 13:58:51.064160
C00001_T0054,C00001,2025-07-07,Withdrawal,775.2,USD,Sweden,Latvia,Branch,Business Expense,Jane Doe,Business,False,-,2024-07-02 07:06:50.064167
C00001_T0055,C00001,2025-07-08,Withdrawal,362.46,USD,Luxembourg,Denmark,API,Crypto Settlement,John Smith,Individual,False,-,2024-12-29 18:30:49.064174
C00001_T0056,C00001,2025-07-09,Investment,574.35,USD,Luxembourg,Austria,API,Commission,Chris Lee,Individual,False,-,2023-10-03 01:03:51.064181
C00001_T0057,C00001,2025-07-10,Deposit,67.96,USD,Italy,Norway,API,Investment,John Smith,Government,False,-,2024-08-27 17:57:39.064188
C00001_T0058,C00001,2025-07-11,Investment,2895.64,USD,Estonia,Austria,Online,Loan,Jane Doe,Business,False,-,2024-01-14 07:53:02.064194
C00001_T0059,C00001,2025-07-12,Payment,964.22,USD,Slovakia,Netherlands,Online,Loan,Chris Lee,Individual,False,-,2023-11-29 02:00:36.064201
C00001_T0060,C00001,2025-07-13,Deposit,1312.5,USD,Italy,Portugal,Branch,Loan,John Smith,Government,False,-,2025-04-10 06:56:20.064208
C00001_T0061,C00001,2025-07-14,Investment,1127.6,USD,Slovakia,Estonia,API,Salary,Alice Brown,Individual,False,-,2024-09-30 17:55:09.064215
C00001_T0062,C00001,2025-07-15,Withdrawal,1100.68,USD,Iceland,Estonia,Branch,Crypto Settlement,Jane Doe,Business,False,-,2023-11-15 14:30:25.064222
C00001_T0063,C00001,2025-07-16,Investment,17.39,USD,Denmark,Poland,Online,Business Expense,Alice Brown,Unknown,False,-,2025-04-22 08:53:21.064228
C00001_T0064,C00001,2025-07-17,Transfer,744.42,USD,Croatia,Sweden,Mobile App,Crypto Settlement,Alice Brown,Individual,False,-,2024-12-11 19:20:06.064235
C00001_T0065,C00001,2025-07-18,Investment,1722.49,USD,Croatia,Greece,Branch,Salary,Jane Doe,Business,False,-,2025-04-04 08:02:53.064242
C00001_T0066,C00001,2025-07-19,Deposit,45.49,USD,Norway,France,Online,Crypto Settlement,Chris Lee,Individual,True,Large volume,2023-12-13 19:25:17.064250
C00001_T0067,C00001,2025-07-20,Investment,3123.97,USD,Iceland,Cyprus,API,Crypto Settlement,Michael Johnson,Unknown,False,Large volume,2024-05-08 08:11:39.064261
C00001_T0068,C00001,2025-07-21,Withdrawal,551.33,USD,Greece,Croatia,Mobile App,Loan,Michael Johnson,Unknown,False,-,2024-05-10 02:55:27.064274
C00001_T0069,C00001,2025-07-22,Payment,341.97,USD,Iceland,Hungary,Mobile App,Investment,Jane Doe,Individual,False,Large volume,2025-07-04 19:23:49.064281
C00001_T0070,C00001,2025-07-23,Transfer,758.09,USD,Iceland,Latvia,Mobile App,Loan,Michael Johnson,Government,False,-,2024-09-02 13:18:36.064288
C00001_T0071,C00001,2025-07-24,Deposit,1613.79,USD,Ireland,Luxembourg,API,Crypto Settlement,John Smith,Individual,True,-,2023-12-06 09:33:03.064295
C00001_T0072,C00001,2025-07-25,Withdrawal,643.2,USD,Spain,France,Mobile App,Investment,Chris Lee,Business,False,-,2024-01-24 06:46:04.064302
C00001_T0073,C00001,2025-07-26,Transfer,1034.82,USD,Portugal,Czech Republic,Online,Business Expense,Alice Brown,Government,False,-,2023-10-09 07:43:47.064308
C00001_T0074,C00001,2025-07-27,Investment,692.23,USD,Belgium,Bulgaria,Branch,Commission,Alice Brown,Business,True,-,2024-03-22 04:37:22.064315
